iso3,year,games_type,gold,silver,bronze,total_medals,has_medal,country,population,gdp_current_usd,gdp_per_capita,life_expectancy,adult_literacy_rate,unemployment_rate
ESP,2020,Summer,3.0,8.0,6.0,17.0,1,Spain,47359424.0,1289783836971.21,27233.9426461608,82.2317073170732,98.5899963378906,15.532
SWE,2020,Summer,3.0,6.0,0.0,9.0,1,Sweden,10353442.0,545147614972.141,52653.7565934247,82.3560975609756,,8.291
CHE,2020,Summer,3.0,4.0,6.0,13.0,1,Switzerland,8638167.0,741999406005.627,85897.7843338323,83.0,,4.817
UKR,2020,Summer,1.0,6.0,12.0,19.0,1,Ukraine,44680014.0,156617722013.342,3709.76928710938,73.283,,9.475
GBR,2020,Summer,22.0,20.0,22.0,64.0,1,United Kingdom,66744000.0,2696778386607.65,40404.8062238951,80.331756097561,,4.472
USA,2020,Summer,39.0,41.0,33.0,113.0,1,United States,331577720.0,21354105000000.0,64401.5074354212,76.9804878048781,,8.055
ARG,2020,Summer,0.0,1.0,2.0,3.0,1,Argentina,45191965.0,385740508436.965,8535.59938004389,75.878,99.1399993896484,11.461
ARM,2020,Summer,0.0,2.0,2.0,4.0,1,Armenia,2961500.0,12641698583.2152,4268.68093304583,73.3756097560976,99.7900009155273,18.175
AZE,2020,Summer,0.0,3.0,4.0,7.0,1,Azerbaijan,10093121.0,42693000000.0,4229.91064904503,70.312,,7.24
BHS,2020,Summer,2.0,0.0,0.0,2.0,1,,,,,,,
BHR,2020,Summer,0.0,1.0,0.0,1.0,1,Bahrain,1472204.0,35837632978.7234,24342.8444554718,78.683,97.870002746582,1.781
BMU,2020,Summer,1.0,0.0,0.0,1.0,1,Bermuda,64382.0,6887364000.0,106976.546239632,81.456,,
BWA,2020,Summer,0.0,0.0,1.0,1.0,1,Botswana,2365894.0,14960251610.8975,6323.29749806946,67.643,,21.017
BRA,2020,Summer,7.0,6.0,8.0,21.0,1,Brazil,208660842.0,1476107231310.49,7074.19378337644,74.506,94.7576490611664,13.697
BGR,2020,Summer,3.0,1.0,2.0,6.0,1,Bulgaria,6550696.0,70550652466.6251,10769.9475699414,73.3560975609756,,5.125
BFA,2020,Summer,0.0,0.0,1.0,1.0,1,Burkina Faso,21478690.0,17725010532.5268,825.237038782475,60.454,40.9199981689453,5.04
TWN,2020,Summer,2.0,4.0,6.0,12.0,1,,,,,,,
COL,2020,Summer,0.0,4.0,1.0,5.0,1,Colombia,50629997.0,270348342541.465,5339.68711357943,74.757,95.6399993896484,15.983
HRV,2020,Summer,3.0,3.0,2.0,8.0,1,Croatia,3914206.0,57963370885.0798,14808.4620188819,77.5243902439024,,7.507
CUB,2020,Summer,7.0,3.0,5.0,15.0,1,Cuba,11176354.0,107351800000.0,9605.26125067263,77.407,,2.24
CIV,2020,Summer,0.0,0.0,1.0,1.0,1,Cote d'Ivoire,28915449.0,63027852805.4204,2179.72934832935,60.14,,2.584
DNK,2020,Summer,3.0,4.0,4.0,11.0,1,Denmark,5831404.0,355631021931.621,60985.4885601514,81.6024390243903,,5.637
